# Screening-grade effective dissociation cross section for electron impact on D2.
energy_eV,sigma_m2
0.01,0.0
4.49,0.0
5.0,2.0e-22
7.0,1.5e-21
10.0,4.0e-21
15.0,7.0e-21
20.0,8.0e-21
30.0,7.0e-21
50.0,5.0e-21
100.,2.8e-21
200.,1.5e-21
500.,6.0e-22
1000,3.0e-22

